Note: You are using GPU for training
Dataset: Reuters
No. of target classes: 90
No. of train instances 5827
No. of dev instances 1943
No. of test instances 3019
Applying weight drop of 0.1 to weight_hh_l0

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
     0     1         1     1/365         0% 0.698015       0.0000
    12     1        11    11/365         3% 0.055263       9.6591
    29     1        21    21/365         6% 0.077113      16.6667
    46     1        31    31/365         8% 0.028007      20.9677
    63     1        41    41/365        11% 0.049637      19.9695
    74     1        51    51/365        14% 0.032817      22.0588
    92     1        61    61/365        17% 0.003689      26.3320
   102     1        71    71/365        19% 0.049917      30.1056
   114     1        81    81/365        22% 0.060602      32.1759
   141     1        91    91/365        25% 0.052850      32.5549
   150     1       101   101/365        28% 0.055392      35.2104
   162     1       111   111/365        30% 0.029621      36.8806
   175     1       121   121/365        33% 0.039122      36.7769
   193     1       131   131/365        36% 0.088650      38.2156
   210     1       141   141/365        39% 0.011895      38.6082
   223     1       151   151/365        41% 0.072869      39.4454
   247     1       161   161/365        44% 0.043660      39.9068
   264     1       171   171/365        47% 0.026087      40.2412
   273     1       181   181/365        50% 0.028688      40.8149
   284     1       191   191/365        52% 0.059769      41.6230
   300     1       201   201/365        55% 0.001429      42.5062
   311     1       211   211/365        58% 0.068515      42.8318
   343     1       221   221/365        61% 0.071696      42.5622
   363     1       231   231/365        63% 0.039345      43.0465
   374     1       241   241/365        66% 0.054078      43.4129
   392     1       251   251/365        69% 0.041712      43.6753
   400     1       261   261/365        72% 0.025020      44.3726
   416     1       271   271/365        74% 0.010854      44.5572
   427     1       281   281/365        77% 0.005477      45.2180
   436     1       291   291/365        80% 0.068837      45.8763
   446     1       301   301/365        82% 0.068002      46.0133
   462     1       311   311/365        85% 0.035887      46.1415
   483     1       321   321/365        88% 0.059750      46.2229
   495     1       331   331/365        91% 0.048746      46.2995
   503     1       341   341/365        93% 0.037584      46.7573
   523     1       351   351/365        96% 0.023689      46.7785
   547     1       361   361/365        99% 0.057229      46.8159

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
   721     1       365     1/30     0.5805   0.9434   0.5161       0.6672       2.3967

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
   727     2       371     6/365         2% 0.025615      69.7917
   751     2       381    16/365         4% 0.000282      62.5000
   760     2       391    26/365         7% 0.051907      57.6923
   771     2       401    36/365        10% 0.025666      60.2431
   780     2       411    46/365        13% 0.020854      59.1033
   800     2       421    56/365        15% 0.035805      57.3661
   814     2       431    66/365        18% 0.048333      55.8712
   845     2       441    76/365        21% 0.046113      54.0296
   858     2       451    86/365        24% 0.017547      53.5610
   867     2       461    96/365        26% 0.059331      54.2969
   885     2       471   106/365        29% 0.006199      54.4811
   899     2       481   116/365        32% 0.040233      54.6336
   913     2       491   126/365        35% 0.026320      55.1587
   927     2       501   136/365        37% 0.011900      55.1011
   936     2       511   146/365        40% 0.063084      55.4366
   968     2       521   156/365        43% 0.031816      54.3670
   987     2       531   166/365        45% 0.030219      54.4051
   998     2       541   176/365        48% 0.026338      54.2969
  1009     2       551   186/365        51% 0.088743      54.7043
  1019     2       561   196/365        54% 0.021475      55.0064
  1032     2       571   206/365        56% 0.010850      55.0364
  1039     2       581   216/365        59% 0.000306      55.6424
  1061     2       591   226/365        62% 0.016825      55.3650
  1068     2       601   236/365        65% 0.004644      55.6939
  1080     2       611   246/365        67% 0.014608      56.1230
  1092     2       621   256/365        70% 0.036213      56.1768
  1117     2       631   266/365        73% 0.102950      55.6626
  1134     2       641   276/365        76% 0.007309      55.5707
  1145     2       651   286/365        78% 0.032864      55.7037
  1170     2       661   296/365        81% 0.032846      55.2576
  1187     2       671   306/365        84% 0.017174      55.2288
  1200     2       681   316/365        87% 0.005485      55.2611
  1212     2       691   326/365        89% 0.031306      55.1956
  1230     2       701   336/365        92% 0.034397      55.2303
  1243     2       711   346/365        95% 0.052276      55.1512
  1262     2       721   356/365        98% 0.026007      55.2349

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
  1446     2       730     2/30     0.6315   0.9464   0.5915       0.7280       2.0944

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
  1453     3       731     1/365         0% 0.000646     100.0000
  1462     3       741    11/365         3% 0.018255      58.5227
  1490     3       751    21/365         6% 0.036409      57.4405
  1501     3       761    31/365         8% 0.024330      60.4839
  1513     3       771    41/365        11% 0.083882      58.6890
  1531     3       781    51/365        14% 0.063986      57.8431
  1545     3       791    61/365        17% 0.024512      55.9426
  1557     3       801    71/365        19% 0.013387      57.6585
  1574     3       811    81/365        22% 0.027808      57.5617
  1592     3       821    91/365        25% 0.021054      57.2802
  1606     3       831   101/365        28% 0.080019      57.4876
  1632     3       841   111/365        30% 0.064500      56.5315
  1642     3       851   121/365        33% 0.049045      56.9731
  1656     3       861   131/365        36% 0.017629      57.0611
  1664     3       871   141/365        39% 0.044489      57.5798
  1681     3       881   151/365        41% 0.021391      57.4089
  1692     3       891   161/365        44% 0.010685      57.2205
  1713     3       901   171/365        47% 0.000384      56.7617
  1726     3       911   181/365        50% 0.009517      56.9061
  1749     3       921   191/365        52% 0.032013      56.6754
  1761     3       931   201/365        55% 0.024518      56.8719
  1774     3       941   211/365        58% 0.003201      57.0794
  1792     3       951   221/365        61% 0.007354      57.3812
  1805     3       961   231/365        63% 0.041072      57.3052
  1817     3       971   241/365        66% 0.003789      57.5467
  1835     3       981   251/365        69% 0.045111      57.0966
  1849     3       991   261/365        72% 0.053637      57.2797
  1873     3      1001   271/365        74% 0.012073      57.1725
  1887     3      1011   281/365        77% 0.040424      56.6948
  1894     3      1021   291/365        80% 0.012317      56.9802
  1905     3      1031   301/365        82% 0.004720      57.1636
  1917     3      1041   311/365        85% 0.052831      57.3151
  1934     3      1051   321/365        88% 0.022870      57.3014
  1945     3      1061   331/365        91% 0.000809      57.5906
  1966     3      1071   341/365        93% 0.020497      57.4683
  1985     3      1081   351/365        96% 0.040443      57.1301
  1997     3      1091   361/365        99% 0.010107      56.9148

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
  2177     3      1095     3/30     0.6341   0.9324   0.6065       0.7350       1.9724

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
  2188     4      1101     6/365         2% 0.035102      69.7917
  2202     4      1111    16/365         4% 0.011251      62.5000
  2212     4      1121    26/365         7% 0.054620      59.8558
  2228     4      1131    36/365        10% 0.009621      58.5069
  2243     4      1141    46/365        13% 0.040151      57.8804
  2253     4      1151    56/365        15% 0.009669      58.5938
  2271     4      1161    66/365        18% 0.024623      57.9545
  2277     4      1171    76/365        21% 0.042792      59.2105
  2298     4      1181    86/365        24% 0.033002      59.3750
  2332     4      1191    96/365        26% 0.027324      56.8359
  2343     4      1201   106/365        29% 0.034993      56.1321
  2355     4      1211   116/365        32% 0.015143      57.0043
  2374     4      1221   126/365        35% 0.030400      56.5476
  2393     4      1231   136/365        37% 0.002234      57.2151
  2402     4      1241   146/365        40% 0.024775      57.1062
  2416     4      1251   156/365        43% 0.030487      57.3317
  2439     4      1261   166/365        45% 0.042926      56.7395
  2452     4      1271   176/365        48% 0.035223      56.8537
  2465     4      1281   186/365        51% 0.000287      57.2581
  2483     4      1291   196/365        54% 0.044438      57.1429
  2499     4      1301   206/365        56% 0.038965      57.4029
  2511     4      1311   216/365        59% 0.023915      57.5521
  2519     4      1321   226/365        62% 0.002301      58.0752
  2529     4      1331   236/365        65% 0.045919      57.9979
  2544     4      1341   246/365        67% 0.003609      57.9014
  2563     4      1351   256/365        70% 0.079381      57.4707
  2580     4      1361   266/365        73% 0.042009      57.2838
  2604     4      1371   276/365        76% 0.010660      57.2917
  2615     4      1381   286/365        78% 0.058527      57.5175
  2629     4      1391   296/365        81% 0.033188      57.6436
  2648     4      1401   306/365        84% 0.024168      57.4346
  2674     4      1411   316/365        87% 0.205388      57.5451
  2686     4      1421   326/365        89% 0.027135      57.4284
  2703     4      1431   336/365        92% 0.004933      57.4492
  2714     4      1441   346/365        95% 0.034599      57.4144
  2732     4      1451   356/365        98% 0.025788      57.3289

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
  2909     4      1460     4/30     0.6572   0.9405   0.6283       0.7533       1.9731

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
  2917     5      1461     1/365         0% 0.035300      62.5000
  2932     5      1471    11/365         3% 0.035600      50.5682
  2947     5      1481    21/365         6% 0.042961      54.4643
  2962     5      1491    31/365         8% 0.036102      55.4435
  2988     5      1501    41/365        11% 0.054637      56.2500
  2999     5      1511    51/365        14% 0.000067      57.5980
  3010     5      1521    61/365        17% 0.045693      59.0164
  3020     5      1531    71/365        19% 0.043887      58.6268
  3038     5      1541    81/365        22% 0.006256      59.5679
  3053     5      1551    91/365        25% 0.026198      58.6538
  3072     5      1561   101/365        28% 0.051192      58.3540
  3086     5      1571   111/365        30% 0.029342      57.9392
  3105     5      1581   121/365        33% 0.010075      57.4897
  3121     5      1591   131/365        36% 0.042499      57.5382
  3141     5      1601   141/365        39% 0.011238      56.9149
  3159     5      1611   151/365        41% 0.110827      56.7053
  3172     5      1621   161/365        44% 0.030635      57.1040
  3181     5      1631   171/365        47% 0.016458      57.6023
  3198     5      1641   181/365        50% 0.001211      57.6312
  3210     5      1651   191/365        52% 0.048126      57.7880
  3218     5      1661   201/365        55% 0.023292      58.5510
  3234     5      1671   211/365        58% 0.013078      58.0273
  3245     5      1681   221/365        61% 0.010618      58.0882
  3253     5      1691   231/365        63% 0.018860      58.4416
  3262     5      1701   241/365        66% 0.006332      58.6359
  3290     5      1711   251/365        69% 0.035728      57.9681
  3308     5      1721   261/365        72% 0.041160      57.9023
  3322     5      1731   271/365        74% 0.038991      57.8183
  3335     5      1741   281/365        77% 0.001021      58.2740
  3355     5      1751   291/365        80% 0.045684      58.0326
  3368     5      1761   301/365        82% 0.038553      58.2641
  3383     5      1771   311/365        85% 0.000267      58.2195
  3394     5      1781   321/365        88% 0.020680      58.2555
  3411     5      1791   331/365        91% 0.015138      58.1760
  3431     5      1801   341/365        93% 0.107637      58.2399
  3439     5      1811   351/365        96% 0.034755      58.2724
  3464     5      1821   361/365        99% 0.055649      58.0947

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
  3639     5      1825     5/30     0.6593   0.9320   0.6308       0.7524       2.0449

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
  3647     6      1831     6/365         2% 0.011224      59.3750
  3664     6      1841    16/365         4% 0.050655      58.2031
  3676     6      1851    26/365         7% 0.024610      57.9327
  3690     6      1861    36/365        10% 0.028688      57.9861
  3709     6      1871    46/365        13% 0.000076      55.8424
  3716     6      1881    56/365        15% 0.020414      58.7054
  3741     6      1891    66/365        18% 0.105456      58.9962
  3758     6      1901    76/365        21% 0.084436      58.3882
  3772     6      1911    86/365        24% 0.109523      58.7936
  3787     6      1921    96/365        26% 0.035445      59.4401
  3796     6      1931   106/365        29% 0.009160      60.7311
  3811     6      1941   116/365        32% 0.033672      60.6142
  3834     6      1951   126/365        35% 0.002871      60.5159
  3846     6      1961   136/365        37% 0.004791      61.2132
  3861     6      1971   146/365        40% 0.032347      61.2586
  3879     6      1981   156/365        43% 0.091837      61.0176
  3888     6      1991   166/365        45% 0.003093      61.5211
  3902     6      2001   176/365        48% 0.027575      61.2926
  3919     6      2011   186/365        51% 0.024923      60.7191
  3934     6      2021   196/365        54% 0.008940      60.4911
  3952     6      2031   206/365        56% 0.068692      60.6796
  3964     6      2041   216/365        59% 0.015947      60.6192
  3982     6      2051   226/365        62% 0.011725      60.8407
