Note: You are using GPU for training
Dataset: Reuters
No. of target classes: 90
No. of train instances 5827
No. of dev instances 1943
No. of test instances 3019
Applying weight drop of 0.1 to weight_hh_l0

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
     0     1         1     1/365         0% 0.697951       0.0000
    12     1        11    11/365         3% 0.054749       9.6591
    29     1        21    21/365         6% 0.076216      16.3690
    46     1        31    31/365         8% 0.026800      20.7661
    63     1        41    41/365        11% 0.048661      19.6646
    75     1        51    51/365        14% 0.030379      21.4461
    92     1        61    61/365        17% 0.003047      26.4344
   102     1        71    71/365        19% 0.048723      30.6338
   114     1        81    81/365        22% 0.058810      32.8704
   140     1        91    91/365        25% 0.048885      33.7225
   149     1       101   101/365        28% 0.055739      36.0767
   162     1       111   111/365        30% 0.030449      37.6126
   174     1       121   121/365        33% 0.037128      37.9132
   192     1       131   131/365        36% 0.082594      39.2176
   209     1       141   141/365        39% 0.011230      39.7606
   221     1       151   151/365        41% 0.068547      40.6043
   246     1       161   161/365        44% 0.039080      40.9938
   262     1       171   171/365        47% 0.029140      41.1184
   271     1       181   181/365        50% 0.026324      41.7818
   281     1       191   191/365        52% 0.062541      42.7356
   297     1       201   201/365        55% 0.001957      43.6878
   309     1       211   211/365        58% 0.070228      43.9277
   340     1       221   221/365        61% 0.066319      43.6934
   360     1       231   231/365        63% 0.038980      44.3994
   371     1       241   241/365        66% 0.049842      44.7355
   388     1       251   251/365        69% 0.037907      45.1444
   396     1       261   261/365        72% 0.031754      45.8573
   412     1       271   271/365        74% 0.013298      46.0101
   423     1       281   281/365        77% 0.003817      46.5747
   431     1       291   291/365        80% 0.069843      47.2079
   442     1       301   301/365        82% 0.070581      47.3214
   457     1       311   311/365        85% 0.038853      47.3473
   479     1       321   321/365        88% 0.056772      47.4136
   490     1       331   331/365        91% 0.048149      47.6434
   498     1       341   341/365        93% 0.032496      48.0985
   518     1       351   351/365        96% 0.029721      48.0457
   541     1       361   361/365        99% 0.043061      48.0652

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
   713     1       365     1/30     0.5908   0.9415   0.5320       0.6799       2.2962

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
   719     2       371     6/365         2% 0.020938      69.7917
   743     2       381    16/365         4% 0.000384      64.0625
   753     2       391    26/365         7% 0.046951      58.1731
   763     2       401    36/365        10% 0.018178      59.8958
   772     2       411    46/365        13% 0.017786      59.9185
   791     2       421    56/365        15% 0.037492      58.1473
   806     2       431    66/365        18% 0.052601      56.7235
   836     2       441    76/365        21% 0.045908      54.5230
   849     2       451    86/365        24% 0.020358      54.1424
   858     2       461    96/365        26% 0.053184      54.8177
   876     2       471   106/365        29% 0.003502      55.2476
   890     2       481   116/365        32% 0.043390      55.1724
   904     2       491   126/365        35% 0.028107      55.6548
   917     2       501   136/365        37% 0.011633      55.6066
   926     2       511   146/365        40% 0.061033      56.2500
   958     2       521   156/365        43% 0.020194      55.2484
   977     2       531   166/365        45% 0.027204      55.2711
   987     2       541   176/365        48% 0.028499      55.1136
   998     2       551   186/365        51% 0.088091      55.6116
  1008     2       561   196/365        54% 0.021315      55.6760
  1021     2       571   206/365        56% 0.013190      55.5825
  1028     2       581   216/365        59% 0.000226      56.0764
  1049     2       591   226/365        62% 0.015728      55.7246
  1057     2       601   236/365        65% 0.003870      56.0646
  1068     2       611   246/365        67% 0.016398      56.4787
  1080     2       621   256/365        70% 0.037798      56.6406
  1105     2       631   266/365        73% 0.110664      56.2265
  1121     2       641   276/365        76% 0.005914      56.2726
  1132     2       651   286/365        78% 0.033508      56.4248
  1157     2       661   296/365        81% 0.037911      55.9966
  1174     2       671   306/365        84% 0.020559      55.9641
  1186     2       681   316/365        87% 0.012761      56.0522
  1199     2       691   326/365        89% 0.028051      55.9241
  1217     2       701   336/365        92% 0.032879      55.9948
  1229     2       711   346/365        95% 0.040843      55.9841
  1247     2       721   356/365        98% 0.017983      56.1147

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
  1429     2       730     2/30     0.6279   0.9386   0.6015       0.7332       2.0972

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
  1437     3       731     1/365         0% 0.000155     100.0000
  1445     3       741    11/365         3% 0.011596      60.7955
  1472     3       751    21/365         6% 0.036610      58.3333
  1483     3       761    31/365         8% 0.025754      60.6855
  1496     3       771    41/365        11% 0.092985      60.0610
  1513     3       781    51/365        14% 0.059616      58.3333
  1527     3       791    61/365        17% 0.028288      57.3770
  1539     3       801    71/365        19% 0.009349      58.2746
  1555     3       811    81/365        22% 0.022672      58.5648
  1574     3       821    91/365        25% 0.021792      58.1044
  1587     3       831   101/365        28% 0.054064      58.1683
  1613     3       841   111/365        30% 0.061991      56.8694
  1623     3       851   121/365        33% 0.062248      57.4897
  1636     3       861   131/365        36% 0.027221      57.3473
  1645     3       871   141/365        39% 0.043810      57.5798
  1661     3       881   151/365        41% 0.022609      57.0778
  1672     3       891   161/365        44% 0.013283      56.7935
  1693     3       901   171/365        47% 0.000304      56.3962
  1706     3       911   181/365        50% 0.008121      56.6644
  1729     3       921   191/365        52% 0.033898      56.5118
  1740     3       931   201/365        55% 0.020697      56.6853
  1753     3       941   211/365        58% 0.001480      56.6647
  1771     3       951   221/365        61% 0.006166      56.9570
  1784     3       961   231/365        63% 0.039230      56.9805
  1795     3       971   241/365        66% 0.001997      57.3133
  1814     3       981   251/365        69% 0.029944      56.9721
  1828     3       991   261/365        72% 0.038427      57.3755
  1851     3      1001   271/365        74% 0.013208      57.2186
  1865     3      1011   281/365        77% 0.031695      56.8060
  1872     3      1021   291/365        80% 0.014071      57.1735
  1883     3      1031   301/365        82% 0.003340      57.3297
  1895     3      1041   311/365        85% 0.055236      57.5161
  1911     3      1051   321/365        88% 0.016167      57.5740
  1922     3      1061   331/365        91% 0.001993      57.8927
  1943     3      1071   341/365        93% 0.013206      58.0011
  1962     3      1081   351/365        96% 0.037536      57.7012
  1974     3      1091   361/365        99% 0.009764      57.4701

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
  2151     3      1095     3/30     0.6567   0.9332   0.6375       0.7575       1.8593

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
  2162     4      1101     6/365         2% 0.031089      69.7917
  2176     4      1111    16/365         4% 0.012637      63.6719
  2185     4      1121    26/365         7% 0.047217      60.3365
  2202     4      1131    36/365        10% 0.007594      59.3750
  2216     4      1141    46/365        13% 0.048826      59.7826
  2226     4      1151    56/365        15% 0.003555      60.7143
  2244     4      1161    66/365        18% 0.022141      60.1326
  2250     4      1171    76/365        21% 0.040526      61.2664
  2270     4      1181    86/365        24% 0.017355      61.1919
  2304     4      1191    96/365        26% 0.027125      58.8542
  2315     4      1201   106/365        29% 0.017464      58.5495
  2327     4      1211   116/365        32% 0.010885      59.2672
  2345     4      1221   126/365        35% 0.033733      58.9782
  2365     4      1231   136/365        37% 0.001694      59.7426
  2373     4      1241   146/365        40% 0.023824      59.5462
  2387     4      1251   156/365        43% 0.037891      59.6955
  2410     4      1261   166/365        45% 0.034618      58.9985
  2423     4      1271   176/365        48% 0.022959      59.0199
  2435     4      1281   186/365        51% 0.000280      59.2742
  2453     4      1291   196/365        54% 0.050298      58.9923
  2469     4      1301   206/365        56% 0.034965      59.1626
  2480     4      1311   216/365        59% 0.021996      59.5775
  2488     4      1321   226/365        62% 0.000699      60.0111
  2498     4      1331   236/365        65% 0.052168      59.9841
  2513     4      1341   246/365        67% 0.003395      59.9085
  2532     4      1351   256/365        70% 0.060482      59.4238
  2549     4      1361   266/365        73% 0.049388      59.4455
  2573     4      1371   276/365        76% 0.009881      59.4882
  2583     4      1381   286/365        78% 0.055918      59.6809
  2597     4      1391   296/365        81% 0.031619      59.7340
  2615     4      1401   306/365        84% 0.027959      59.5384
  2641     4      1411   316/365        87% 0.227982      59.4884
  2653     4      1421   326/365        89% 0.014824      59.3888
  2670     4      1431   336/365        92% 0.002572      59.3325
  2681     4      1441   346/365        95% 0.028161      59.3156
  2699     4      1451   356/365        98% 0.016867      59.2997

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
  2873     4      1460     4/30     0.6835   0.9311   0.6676       0.7777       1.8415

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
  2881     5      1461     1/365         0% 0.030760      50.0000
  2896     5      1471    11/365         3% 0.036531      55.1136
  2911     5      1481    21/365         6% 0.039770      58.0357
  2925     5      1491    31/365         8% 0.035650      59.0726
  2952     5      1501    41/365        11% 0.045483      60.5183
  2962     5      1511    51/365        14% 0.000915      61.1520
  2973     5      1521    61/365        17% 0.037979      61.6803
  2982     5      1531    71/365        19% 0.033521      61.6197
  3000     5      1541    81/365        22% 0.008409      62.7315
  3016     5      1551    91/365        25% 0.015307      62.2253
  3034     5      1561   101/365        28% 0.046286      61.6955
  3048     5      1571   111/365        30% 0.023065      61.4865
  3067     5      1581   121/365        33% 0.009032      60.9504
  3083     5      1591   131/365        36% 0.047105      61.0210
  3102     5      1601   141/365        39% 0.013705      60.2837
  3120     5      1611   151/365        41% 0.090135      60.0993
  3132     5      1621   161/365        44% 0.033646      60.3261
  3142     5      1631   171/365        47% 0.011707      60.9284
  3159     5      1641   181/365        50% 0.001088      60.7735
  3170     5      1651   191/365        52% 0.030289      60.8639
  3178     5      1661   201/365        55% 0.019191      61.6294
  3194     5      1671   211/365        58% 0.017750      61.3744
  3205     5      1681   221/365        61% 0.017872      61.3688
  3212     5      1691   231/365        63% 0.011838      61.8506
  3222     5      1701   241/365        66% 0.011133      62.1110
  3249     5      1711   251/365        69% 0.025889      61.4542
  3267     5      1721   261/365        72% 0.024775      61.3745
  3281     5      1731   271/365        74% 0.034085      61.2777
  3293     5      1741   281/365        77% 0.001061      61.6326
  3314     5      1751   291/365        80% 0.042583      61.2328
  3326     5      1761   301/365        82% 0.045808      61.3995
  3341     5      1771   311/365        85% 0.000202      61.2540
  3352     5      1781   321/365        88% 0.027180      61.2734
  3369     5      1791   331/365        91% 0.014457      61.2349
  3388     5      1801   341/365        93% 0.111706      61.3265
  3396     5      1811   351/365        96% 0.031580      61.3778
  3420     5      1821   361/365        99% 0.067078      60.9752

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
  3593     5      1825     5/30     0.6794   0.9429   0.6492       0.7690       1.8886

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
  3601     6      1831     6/365         2% 0.009388      67.7083
  3618     6      1841    16/365         4% 0.061807      59.3750
  3630     6      1851    26/365         7% 0.018167      58.8942
  3643     6      1861    36/365        10% 0.028052      59.0278
  3663     6      1871    46/365        13% 0.000167      57.7446
  3669     6      1881    56/365        15% 0.014928      60.0446
  3694     6      1891    66/365        18% 0.098068      59.6591
  3710     6      1901    76/365        21% 0.063620      59.0461
  3725     6      1911    86/365        24% 0.092061      59.6657
  3739     6      1921    96/365        26% 0.042009      59.8307
  3748     6      1931   106/365        29% 0.003941      60.9670
  3763     6      1941   116/365        32% 0.047588      60.6681
  3785     6      1951   126/365        35% 0.001557      60.6647
  3797     6      1961   136/365        37% 0.006350      61.3511
  3812     6      1971   146/365        40% 0.038161      61.0873
  3830     6      1981   156/365        43% 0.111044      60.5369
  3839     6      1991   166/365        45% 0.000487      61.2199
  3852     6      2001   176/365        48% 0.038653      60.9730
  3870     6      2011   186/365        51% 0.043193      60.2487
  3884     6      2021   196/365        54% 0.024442      59.9171
  3902     6      2031   206/365        56% 0.054080      60.0425
  3914     6      2041   216/365        59% 0.016491      60.2141
  3931     6      2051   226/365        62% 0.010170      60.4535
