Note: You are using GPU for training
Dataset: Reuters
No. of target classes: 90
No. of train instances 5827
No. of dev instances 1943
No. of test instances 3019
Applying weight drop of 0.1 to weight_hh_l0

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
     0     1         1     1/365         0% 0.699178       0.0000
    12     1        11    11/365         3% 0.053836       7.9545
    29     1        21    21/365         6% 0.077118      14.5833
    46     1        31    31/365         8% 0.026924      19.5565
    64     1        41    41/365        11% 0.048873      19.2073
    75     1        51    51/365        14% 0.029966      21.5686
    92     1        61    61/365        17% 0.002767      26.0246
   102     1        71    71/365        19% 0.049626      29.7535
   114     1        81    81/365        22% 0.061950      31.7901
   140     1        91    91/365        25% 0.051073      32.7610
   149     1       101   101/365        28% 0.050883      35.4579
   162     1       111   111/365        30% 0.027198      36.9369
   174     1       121   121/365        33% 0.040412      37.1901
   192     1       131   131/365        36% 0.090977      38.5496
   209     1       141   141/365        39% 0.010134      39.1844
   221     1       151   151/365        41% 0.062873      39.9007
   246     1       161   161/365        44% 0.041973      40.4503
   262     1       171   171/365        47% 0.027677      40.8260
   271     1       181   181/365        50% 0.022885      41.5401
   282     1       191   191/365        52% 0.058015      42.6047
   297     1       201   201/365        55% 0.002890      43.6567
   309     1       211   211/365        58% 0.071149      44.0462
   340     1       221   221/365        61% 0.063700      43.7500
   360     1       231   231/365        63% 0.035289      44.3723
   371     1       241   241/365        66% 0.050728      44.9429
   388     1       251   251/365        69% 0.035457      45.3436
   396     1       261   261/365        72% 0.021572      46.0967
   411     1       271   271/365        74% 0.014218      46.3100
   423     1       281   281/365        77% 0.005205      46.8861
   431     1       291   291/365        80% 0.060280      47.4442
   442     1       301   301/365        82% 0.051414      47.6329
   457     1       311   311/365        85% 0.032893      47.7291
   478     1       321   321/365        88% 0.043677      47.9211
   490     1       331   331/365        91% 0.041385      48.1355
   497     1       341   341/365        93% 0.026384      48.6129
   517     1       351   351/365        96% 0.025647      48.6168
   541     1       361   361/365        99% 0.044296      48.6726

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
   712     1       365     1/30     0.6099   0.9342   0.5705       0.7084       2.1073

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
   719     2       371     6/365         2% 0.022405      70.8333
   742     2       381    16/365         4% 0.000334      64.0625
   752     2       391    26/365         7% 0.037992      58.1731
   762     2       401    36/365        10% 0.022364      59.7222
   771     2       411    46/365        13% 0.018055      58.8315
   790     2       421    56/365        15% 0.026910      58.1473
   805     2       431    66/365        18% 0.051226      57.3864
   835     2       441    76/365        21% 0.030871      55.1809
   848     2       451    86/365        24% 0.016414      54.8692
   857     2       461    96/365        26% 0.054557      55.7292
   875     2       471   106/365        29% 0.005890      55.8962
   888     2       481   116/365        32% 0.036514      55.6034
   902     2       491   126/365        35% 0.025211      55.9028
   916     2       501   136/365        37% 0.011619      55.8364
   925     2       511   146/365        40% 0.059245      56.2500
   956     2       521   156/365        43% 0.022498      55.0080
   975     2       531   166/365        45% 0.031057      55.5723
   986     2       541   176/365        48% 0.027682      55.6818
   997     2       551   186/365        51% 0.085633      56.0148
  1007     2       561   196/365        54% 0.023624      56.3138
  1020     2       571   206/365        56% 0.019484      56.3410
  1027     2       581   216/365        59% 0.000407      56.8576
  1048     2       591   226/365        62% 0.026371      56.7201
  1055     2       601   236/365        65% 0.004106      57.1504
  1067     2       611   246/365        67% 0.011755      57.5457
  1078     2       621   256/365        70% 0.033703      57.7881
  1103     2       631   266/365        73% 0.100634      57.4483
  1120     2       641   276/365        76% 0.007708      57.3370
  1131     2       651   286/365        78% 0.021803      57.5393
  1156     2       661   296/365        81% 0.028503      57.0946
  1172     2       671   306/365        84% 0.013046      57.2100
  1185     2       681   316/365        87% 0.008449      57.2587
  1197     2       691   326/365        89% 0.024550      57.1702
  1215     2       701   336/365        92% 0.034696      57.3373
  1228     2       711   346/365        95% 0.045219      57.2696
  1246     2       721   356/365        98% 0.018306      57.3113

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
  1427     2       730     2/30     0.6449   0.9301   0.6241       0.7470       1.9320

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
  1436     3       731     1/365         0% 0.001218      93.7500
  1445     3       741    11/365         3% 0.012622      60.7955
  1472     3       751    21/365         6% 0.044530      58.0357
  1483     3       761    31/365         8% 0.030280      60.8871
  1495     3       771    41/365        11% 0.074837      59.4512
  1512     3       781    51/365        14% 0.052330      58.0882
  1526     3       791    61/365        17% 0.029672      57.0697
  1539     3       801    71/365        19% 0.008991      58.4507
  1555     3       811    81/365        22% 0.023630      58.4877
  1573     3       821    91/365        25% 0.017401      58.3104
  1587     3       831   101/365        28% 0.080668      58.6015
  1612     3       841   111/365        30% 0.063524      57.7703
  1622     3       851   121/365        33% 0.060894      58.4194
  1635     3       861   131/365        36% 0.019391      58.4447
  1644     3       871   141/365        39% 0.032440      58.7766
  1661     3       881   151/365        41% 0.017465      58.5265
  1671     3       891   161/365        44% 0.010730      58.6180
  1692     3       901   171/365        47% 0.000448      58.5161
  1705     3       911   181/365        50% 0.008493      58.7017
  1728     3       921   191/365        52% 0.024690      58.6715
  1739     3       931   201/365        55% 0.024126      58.8308
  1752     3       941   211/365        58% 0.001928      59.0344
  1770     3       951   221/365        61% 0.006282      59.3043
  1783     3       961   231/365        63% 0.047676      59.3615
  1794     3       971   241/365        66% 0.003763      59.5436
  1813     3       981   251/365        69% 0.040526      59.0637
  1826     3       991   261/365        72% 0.042968      59.2912
  1850     3      1001   271/365        74% 0.015187      59.1790
  1864     3      1011   281/365        77% 0.032649      58.6521
  1871     3      1021   291/365        80% 0.012314      58.9562
  1882     3      1031   301/365        82% 0.003606      59.1570
  1894     3      1041   311/365        85% 0.055708      59.3047
  1910     3      1051   321/365        88% 0.013491      59.3653
  1921     3      1061   331/365        91% 0.002845      59.5733
  1941     3      1071   341/365        93% 0.016877      59.5444
  1961     3      1081   351/365        96% 0.036065      59.1469
  1973     3      1091   361/365        99% 0.019581      58.9450

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
  2151     3      1095     3/30     0.6650   0.9435   0.6296       0.7552       1.8359

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
  2163     4      1101     6/365         2% 0.021914      73.9583
  2177     4      1111    16/365         4% 0.006011      66.7969
  2186     4      1121    26/365         7% 0.047372      62.2596
  2203     4      1131    36/365        10% 0.007138      60.2431
  2217     4      1141    46/365        13% 0.036261      59.9185
  2227     4      1151    56/365        15% 0.004620      60.8259
  2245     4      1161    66/365        18% 0.033004      59.8485
  2251     4      1171    76/365        21% 0.030057      60.6086
  2271     4      1181    86/365        24% 0.018433      61.1192
  2305     4      1191    96/365        26% 0.028788      58.5938
  2316     4      1201   106/365        29% 0.016940      58.5495
  2327     4      1211   116/365        32% 0.014016      59.5366
  2346     4      1221   126/365        35% 0.031793      59.4246
  2366     4      1231   136/365        37% 0.001970      59.9724
  2374     4      1241   146/365        40% 0.024117      59.9743
  2387     4      1251   156/365        43% 0.021895      60.1362
  2411     4      1261   166/365        45% 0.031635      59.5633
  2423     4      1271   176/365        48% 0.027145      59.4105
  2436     4      1281   186/365        51% 0.000055      59.8118
  2454     4      1291   196/365        54% 0.041729      59.6301
  2470     4      1301   206/365        56% 0.033507      59.8908
  2481     4      1311   216/365        59% 0.024208      60.0984
  2489     4      1321   226/365        62% 0.001695      60.6195
  2499     4      1331   236/365        65% 0.035964      60.5403
  2514     4      1341   246/365        67% 0.005154      60.5691
  2533     4      1351   256/365        70% 0.056900      60.3516
  2550     4      1361   266/365        73% 0.054888      60.2209
  2573     4      1371   276/365        76% 0.008585      60.1449
  2584     4      1381   286/365        78% 0.067414      60.3584
  2598     4      1391   296/365        81% 0.027574      60.3463
  2616     4      1401   306/365        84% 0.036173      60.1920
  2642     4      1411   316/365        87% 0.124656      60.2221
  2654     4      1421   326/365        89% 0.015890      60.2729
  2670     4      1431   336/365        92% 0.003986      60.3021
  2681     4      1441   346/365        95% 0.035880      60.3114
  2699     4      1451   356/365        98% 0.020098      60.2147

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
  2873     4      1460     4/30     0.6917   0.9317   0.6676       0.7779       1.8137

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
  2883     5      1461     1/365         0% 0.035071      37.5000
  2898     5      1471    11/365         3% 0.036313      52.2727
  2912     5      1481    21/365         6% 0.050555      54.4643
  2927     5      1491    31/365         8% 0.030599      57.8629
  2953     5      1501    41/365        11% 0.042157      57.0122
  2964     5      1511    51/365        14% 0.000097      58.5784
  2975     5      1521    61/365        17% 0.040431      59.5287
  2984     5      1531    71/365        19% 0.038324      60.0352
  3002     5      1541    81/365        22% 0.005116      61.1883
  3017     5      1551    91/365        25% 0.016716      60.0962
  3036     5      1561   101/365        28% 0.034379      60.2723
  3050     5      1571   111/365        30% 0.028494      60.4167
  3068     5      1581   121/365        33% 0.009104      60.5372
  3084     5      1591   131/365        36% 0.048964      60.6393
  3104     5      1601   141/365        39% 0.009781      60.3280
  3121     5      1611   151/365        41% 0.089169      59.9338
  3134     5      1621   161/365        44% 0.019691      60.2484
  3143     5      1631   171/365        47% 0.014522      60.9649
  3161     5      1641   181/365        50% 0.002769      61.0843
  3171     5      1651   191/365        52% 0.030590      61.3220
  3179     5      1661   201/365        55% 0.016632      62.1580
  3195     5      1671   211/365        58% 0.013769      61.9668
  3207     5      1681   221/365        61% 0.015007      62.1606
  3214     5      1691   231/365        63% 0.017544      62.4729
  3223     5      1701   241/365        66% 0.009898      62.6815
  3251     5      1711   251/365        69% 0.038014      62.1514
  3269     5      1721   261/365        72% 0.030029      61.8774
  3282     5      1731   271/365        74% 0.040036      61.7620
  3295     5      1741   281/365        77% 0.000362      62.2109
  3315     5      1751   291/365        80% 0.034902      61.9631
  3327     5      1761   301/365        82% 0.046825      62.0847
  3342     5      1771   311/365        85% 0.000103      61.9574
  3353     5      1781   321/365        88% 0.031021      62.1106
  3370     5      1791   331/365        91% 0.010603      62.1224
  3390     5      1801   341/365        93% 0.096408      62.0981
  3397     5      1811   351/365        96% 0.027462      62.2524
  3422     5      1821   361/365        99% 0.064153      61.9990

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
  3595     5      1825     5/30     0.6788   0.9422   0.6555       0.7731       1.7789

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
  3602     6      1831     6/365         2% 0.005213      64.5833
  3620     6      1841    16/365         4% 0.063454      58.5938
  3632     6      1851    26/365         7% 0.023829      58.1731
  3645     6      1861    36/365        10% 0.031256      58.5069
  3664     6      1871    46/365        13% 0.000027      57.2011
  3671     6      1881    56/365        15% 0.012352      60.6027
  3696     6      1891    66/365        18% 0.092243      60.6061
  3712     6      1901    76/365        21% 0.057982      60.0329
  3726     6      1911    86/365        24% 0.100471      60.2471
  3740     6      1921    96/365        26% 0.039621      61.0677
  3750     6      1931   106/365        29% 0.004666      62.6179
  3765     6      1941   116/365        32% 0.032589      62.7155
  3787     6      1951   126/365        35% 0.000283      62.8968
  3799     6      1961   136/365        37% 0.005519      63.6029
  3814     6      1971   146/365        40% 0.020175      63.9555
  3831     6      1981   156/365        43% 0.078772      63.3413
  3841     6      1991   166/365        45% 0.006701      63.8931
  3854     6      2001   176/365        48% 0.034510      63.5653
  3871     6      2011   186/365        51% 0.033234      63.0376
  3886     6      2021   196/365        54% 0.015305      62.7232
  3903     6      2031   206/365        56% 0.058389      62.7427
  3916     6      2041   216/365        59% 0.018465      62.6157
  3933     6      2051   226/365        62% 0.009136      62.8872
